commodity_id,src,peer,theory_rate_kps,theory_t_saturate_seconds
dkms-940->dkms-943,dkms-940,dkms-943,79.432823,825.049358
dkms-940->dkms-946,dkms-940,dkms-946,79.432823,825.049358
dkms-940->dkms-949,dkms-940,dkms-949,291.253686,225.013461
dkms-940->dkms-952,dkms-940,dkms-952,79.432823,825.049358
dkms-940->dkms-955,dkms-940,dkms-955,79.432823,825.049358
dkms-940->dkms-958,dkms-940,dkms-958,185.343255,353.592582
dkms-940->dkms-961,dkms-940,dkms-961,79.432823,825.049358
dkms-940->dkms-964,dkms-940,dkms-964,79.432823,825.049358
dkms-943->dkms-940,dkms-943,dkms-940,79.432823,825.049358
dkms-943->dkms-946,dkms-943,dkms-946,79.432823,825.049358
dkms-943->dkms-949,dkms-943,dkms-949,79.432823,825.049358
dkms-943->dkms-952,dkms-943,dkms-952,291.253686,225.013461
dkms-943->dkms-955,dkms-943,dkms-955,79.432823,825.049358
dkms-943->dkms-958,dkms-943,dkms-958,79.432823,825.049358
dkms-943->dkms-961,dkms-943,dkms-961,185.343255,353.592582
dkms-943->dkms-964,dkms-943,dkms-964,79.432823,825.049358
dkms-946->dkms-940,dkms-946,dkms-940,79.432823,825.049358
dkms-946->dkms-943,dkms-946,dkms-943,79.432823,825.049358
dkms-946->dkms-949,dkms-946,dkms-949,79.432823,825.049358
dkms-946->dkms-952,dkms-946,dkms-952,79.432823,825.049358
dkms-946->dkms-955,dkms-946,dkms-955,291.253686,225.013461
dkms-946->dkms-958,dkms-946,dkms-958,79.432823,825.049358
dkms-946->dkms-961,dkms-946,dkms-961,79.432823,825.049358
dkms-946->dkms-964,dkms-946,dkms-964,185.343255,353.592582
dkms-949->dkms-940,dkms-949,dkms-940,291.253686,225.013461
dkms-949->dkms-943,dkms-949,dkms-943,79.432823,825.049358
dkms-949->dkms-946,dkms-949,dkms-946,79.432823,825.049358
dkms-949->dkms-952,dkms-949,dkms-952,132.388039,495.029615
dkms-949->dkms-955,dkms-949,dkms-955,132.388039,495.029615
dkms-949->dkms-958,dkms-949,dkms-958,185.343255,353.592582
dkms-949->dkms-961,dkms-949,dkms-961,132.388039,495.029615
dkms-949->dkms-964,dkms-949,dkms-964,132.388039,495.029615
dkms-952->dkms-940,dkms-952,dkms-940,79.432823,825.049358
dkms-952->dkms-943,dkms-952,dkms-943,291.253686,225.013461
dkms-952->dkms-946,dkms-952,dkms-946,79.432823,825.049358
dkms-952->dkms-949,dkms-952,dkms-949,132.388039,495.029615
dkms-952->dkms-955,dkms-952,dkms-955,132.388039,495.029615
dkms-952->dkms-958,dkms-952,dkms-958,132.388039,495.029615
dkms-952->dkms-961,dkms-952,dkms-961,185.343255,353.592582
dkms-952->dkms-964,dkms-952,dkms-964,132.388039,495.029615
dkms-955->dkms-940,dkms-955,dkms-940,79.432823,825.049358
dkms-955->dkms-943,dkms-955,dkms-943,79.432823,825.049358
dkms-955->dkms-946,dkms-955,dkms-946,291.253686,225.013461
dkms-955->dkms-949,dkms-955,dkms-949,132.388039,495.029615
dkms-955->dkms-952,dkms-955,dkms-952,132.388039,495.029615
dkms-955->dkms-958,dkms-955,dkms-958,132.388039,495.029615
dkms-955->dkms-961,dkms-955,dkms-961,132.388039,495.029615
dkms-955->dkms-964,dkms-955,dkms-964,185.343255,353.592582
dkms-958->dkms-940,dkms-958,dkms-940,185.343255,353.592582
dkms-958->dkms-943,dkms-958,dkms-943,79.432823,825.049358
dkms-958->dkms-946,dkms-958,dkms-946,79.432823,825.049358
dkms-958->dkms-949,dkms-958,dkms-949,185.343255,353.592582
dkms-958->dkms-952,dkms-958,dkms-952,132.388039,495.029615
dkms-958->dkms-955,dkms-958,dkms-955,132.388039,495.029615
dkms-958->dkms-961,dkms-958,dkms-961,397.164117,165.009872
dkms-958->dkms-964,dkms-958,dkms-964,397.164117,165.009872
dkms-961->dkms-940,dkms-961,dkms-940,79.432823,825.049358
dkms-961->dkms-943,dkms-961,dkms-943,185.343255,353.592582
dkms-961->dkms-946,dkms-961,dkms-946,79.432823,825.049358
dkms-961->dkms-949,dkms-961,dkms-949,132.388039,495.029615
dkms-961->dkms-952,dkms-961,dkms-952,185.343255,353.592582
dkms-961->dkms-955,dkms-961,dkms-955,132.388039,495.029615
dkms-961->dkms-958,dkms-961,dkms-958,397.164117,165.009872
dkms-961->dkms-964,dkms-961,dkms-964,397.164117,165.009872
dkms-964->dkms-940,dkms-964,dkms-940,79.432823,825.049358
dkms-964->dkms-943,dkms-964,dkms-943,79.432823,825.049358
dkms-964->dkms-946,dkms-964,dkms-946,185.343255,353.592582
dkms-964->dkms-949,dkms-964,dkms-949,132.388039,495.029615
dkms-964->dkms-952,dkms-964,dkms-952,132.388039,495.029615
dkms-964->dkms-955,dkms-964,dkms-955,185.343255,353.592582
dkms-964->dkms-958,dkms-964,dkms-958,397.164117,165.009872
dkms-964->dkms-961,dkms-964,dkms-961,397.164117,165.009872
