src,peer,commodity_id,samples,max_enc,enc_at_sat,t_first_emit,t_saturated,t_observed_seconds,t_theoretical_seconds,ratio,saturated,theory_rate_keys_per_s,last_sdn_rate_keys_per_s,last_observed_keys_per_s
dkms-940,dkms-943,dkms-940->dkms-943,125,51803,,2026-05-19T05:53:26.179450,,,825.0493578734254,,False,79.43282347242815,81.0,80.0
dkms-940,dkms-946,dkms-940->dkms-946,125,53080,,2026-05-19T05:53:21.178909,,,825.0493578734254,,False,79.43282347242815,81.0,80.2
dkms-940,dkms-949,dkms-940->dkms-949,125,56211,,2026-05-19T05:53:16.178957,,,225.0134612382069,,False,291.2536860655699,109.0,108.0
dkms-940,dkms-952,dkms-940->dkms-952,125,51568,,2026-05-19T05:53:36.179365,,,825.0493578734254,,False,79.43282347242815,97.2,98.2
dkms-940,dkms-955,dkms-940->dkms-955,125,53248,,2026-05-19T05:53:36.179369,,,825.0493578734254,,False,79.43282347242815,97.2,96.2
dkms-940,dkms-958,dkms-940->dkms-958,125,56207,,2026-05-19T05:53:46.179381,,,353.59258194575375,,False,185.34325476899903,113.4,114.6
dkms-940,dkms-961,dkms-940->dkms-961,125,56094,,2026-05-19T05:53:46.179387,,,825.0493578734254,,False,79.43282347242815,113.4,114.6
dkms-940,dkms-964,dkms-940->dkms-964,125,52852,,2026-05-19T05:55:51.178923,,,825.0493578734254,,False,79.43282347242815,97.2,96.4
dkms-943,dkms-940,dkms-943->dkms-940,125,52410,,2026-05-19T05:53:26.142761,,,825.0493578734254,,False,79.43282347242815,97.2,96.2
dkms-943,dkms-946,dkms-943->dkms-946,125,53702,,2026-05-19T05:53:26.142778,,,825.0493578734254,,False,79.43282347242815,105.2,103.8
dkms-943,dkms-949,dkms-943->dkms-949,125,52405,,2026-05-19T05:53:26.142783,,,825.0493578734254,,False,79.43282347242815,97.2,96.4
dkms-943,dkms-952,dkms-943->dkms-952,125,51970,,2026-05-19T05:53:36.142678,,,225.0134612382069,,False,291.2536860655699,103.7,102.2
dkms-943,dkms-955,dkms-943->dkms-955,125,53696,,2026-05-19T05:53:51.142780,,,825.0493578734254,,False,79.43282347242815,105.2,103.8
dkms-943,dkms-958,dkms-943->dkms-958,125,51943,,2026-05-19T05:54:01.142027,,,825.0493578734254,,False,79.43282347242815,81.0,80.6
dkms-943,dkms-961,dkms-943->dkms-961,125,50973,,2026-05-19T05:53:41.142097,,,353.59258194575375,,False,185.34325476899903,81.0,80.2
dkms-943,dkms-964,dkms-943->dkms-964,125,54319,,2026-05-19T05:55:51.142845,,,825.0493578734254,,False,79.43282347242815,93.3,93.8
dkms-946,dkms-940,dkms-946->dkms-940,125,52176,,2026-05-19T05:55:31.128915,,,825.0493578734254,,False,79.43282347242815,81.0,80.0
dkms-946,dkms-943,dkms-946->dkms-943,125,52888,,2026-05-19T05:55:31.128935,,,825.0493578734254,,False,79.43282347242815,93.3,91.8
dkms-946,dkms-949,dkms-946->dkms-949,125,52457,,2026-05-19T05:55:31.128942,,,825.0493578734254,,False,79.43282347242815,97.2,96.2
dkms-946,dkms-952,dkms-946->dkms-952,125,52118,,2026-05-19T05:55:31.128948,,,825.0493578734254,,False,79.43282347242815,103.7,102.2
dkms-946,dkms-955,dkms-946->dkms-955,125,56897,,2026-05-19T05:53:41.129864,,,225.0134612382069,,False,291.2536860655699,108.5,107.6
dkms-946,dkms-958,dkms-946->dkms-958,125,52455,,2026-05-19T05:55:31.128958,,,825.0493578734254,,False,79.43282347242815,97.2,96.2
dkms-946,dkms-961,dkms-946->dkms-961,125,56105,,2026-05-19T05:55:31.128963,,,825.0493578734254,,False,79.43282347242815,119.4,117.8
dkms-946,dkms-964,dkms-946->dkms-964,125,56056,,2026-05-19T05:55:51.128962,,,353.59258194575375,,False,185.34325476899903,119.4,117.8
dkms-949,dkms-940,dkms-949->dkms-940,125,55661,,2026-05-19T05:53:16.127669,,,225.0134612382069,,False,291.2536860655699,97.2,96.0
dkms-949,dkms-943,dkms-949->dkms-943,125,51955,,2026-05-19T05:53:26.128254,,,825.0493578734254,,False,79.43282347242815,81.0,80.2
dkms-949,dkms-946,dkms-949->dkms-946,125,53330,,2026-05-19T05:53:21.127396,,,825.0493578734254,,False,79.43282347242815,97.2,96.4
dkms-949,dkms-952,dkms-949->dkms-952,125,57681,,2026-05-19T05:54:06.128163,,,495.02961472405525,,False,132.3880391207136,142.6,140.8
dkms-949,dkms-955,dkms-949->dkms-955,125,52344,,2026-05-19T05:53:51.127951,,,495.02961472405525,,False,132.3880391207136,97.2,96.2
dkms-949,dkms-958,dkms-949->dkms-958,125,62520,62302,2026-05-19T05:53:46.128252,2026-05-19T06:03:01.128195,554.999943,353.59258194575375,1.5696029027134544,True,185.34325476899903,0.0,0.0
dkms-949,dkms-961,dkms-949->dkms-961,125,62369,62369,2026-05-19T05:53:36.127687,2026-05-19T06:03:01.128199,565.000512,495.02961472405525,1.1413468915692015,True,132.3880391207136,0.0,0.0
dkms-949,dkms-964,dkms-949->dkms-964,125,62420,62420,2026-05-19T05:55:51.127436,2026-05-19T06:03:26.127781,455.000345,495.02961472405525,0.9191376262481411,True,132.3880391207136,0.0,0.0
dkms-952,dkms-940,dkms-952->dkms-940,121,51853,,2026-05-19T05:53:37.222380,,,825.0493578734254,,False,79.43282347242815,97.2,98.2
dkms-952,dkms-943,dkms-952->dkms-943,121,51879,,2026-05-19T05:53:37.222396,,,225.0134612382069,,False,291.2536860655699,103.7,104.8
dkms-952,dkms-946,dkms-952->dkms-946,121,53126,,2026-05-19T05:54:02.222295,,,825.0493578734254,,False,79.43282347242815,103.7,104.8
dkms-952,dkms-949,dkms-952->dkms-949,121,57725,,2026-05-19T05:54:07.222134,,,495.02961472405525,,False,132.3880391207136,142.6,143.8
dkms-952,dkms-955,dkms-952->dkms-955,121,57848,,2026-05-19T05:53:37.222409,,,495.02961472405525,,False,132.3880391207136,149.1,150.6
dkms-952,dkms-958,dkms-952->dkms-958,121,57630,,2026-05-19T05:53:47.221619,,,495.02961472405525,,False,132.3880391207136,142.6,141.2
dkms-952,dkms-961,dkms-952->dkms-961,121,58658,,2026-05-19T05:53:37.222417,,,353.59258194575375,,False,185.34325476899903,165.4,167.2
dkms-952,dkms-964,dkms-952->dkms-964,121,57879,,2026-05-19T05:55:52.222035,,,495.02961472405525,,False,132.3880391207136,149.1,148.8
dkms-955,dkms-940,dkms-955->dkms-940,121,52438,,2026-05-19T05:55:32.223846,,,825.0493578734254,,False,79.43282347242815,97.2,96.2
dkms-955,dkms-943,dkms-955->dkms-943,121,53137,,2026-05-19T05:55:32.223859,,,825.0493578734254,,False,79.43282347242815,93.3,92.6
dkms-955,dkms-946,dkms-955->dkms-946,121,56382,,2026-05-19T05:53:37.223864,,,225.0134612382069,,False,291.2536860655699,96.6,95.8
dkms-955,dkms-949,dkms-955->dkms-949,121,52455,,2026-05-19T05:53:52.224959,,,495.02961472405525,,False,132.3880391207136,97.2,98.4
dkms-955,dkms-952,dkms-955->dkms-952,121,57835,,2026-05-19T05:53:37.223872,,,495.02961472405525,,False,132.3880391207136,149.1,150.8
dkms-955,dkms-958,dkms-955->dkms-958,121,62366,62366,2026-05-19T05:53:47.224296,2026-05-19T06:03:32.223831,584.999535,495.02961472405525,1.1817465412167245,True,132.3880391207136,0.0,0.0
dkms-955,dkms-961,dkms-955->dkms-961,121,62366,62366,2026-05-19T05:53:37.223880,2026-05-19T06:03:32.223837,594.999957,495.02961472405525,1.201948205324385,True,132.3880391207136,0.0,0.0
dkms-955,dkms-964,dkms-955->dkms-964,121,62293,62293,2026-05-19T05:55:52.224363,2026-05-19T06:03:12.224025,439.999662,353.59258194575375,1.244369040715629,True,185.34325476899903,0.0,0.0
dkms-958,dkms-940,dkms-958->dkms-940,121,55513,,2026-05-19T05:53:42.214972,,,353.59258194575375,,False,185.34325476899903,97.2,98.2
dkms-958,dkms-943,dkms-958->dkms-943,121,51878,,2026-05-19T05:54:02.215196,,,825.0493578734254,,False,79.43282347242815,81.0,81.8
dkms-958,dkms-946,dkms-958->dkms-946,121,52860,,2026-05-19T05:54:02.215201,,,825.0493578734254,,False,79.43282347242815,81.0,81.8
dkms-958,dkms-949,dkms-958->dkms-949,121,62352,62352,2026-05-19T05:53:37.214716,2026-05-19T06:03:02.215200,565.000484,353.59258194575375,1.597885569009701,True,185.34325476899903,0.0,0.0
dkms-958,dkms-952,dkms-958->dkms-952,121,57636,,2026-05-19T05:53:42.215015,,,495.02961472405525,,False,132.3880391207136,142.6,144.2
dkms-958,dkms-955,dkms-958->dkms-955,121,62367,62367,2026-05-19T05:53:37.214724,2026-05-19T06:03:32.214200,594.999476,495.02961472405525,1.2019472336653454,True,132.3880391207136,0.0,0.0
dkms-958,dkms-961,dkms-958->dkms-961,121,62345,62345,2026-05-19T05:53:37.214728,2026-05-19T05:57:57.214280,259.999552,165.00987157468506,1.5756605924168705,True,397.1641173621408,0.0,0.0
dkms-958,dkms-964,dkms-958->dkms-964,121,62414,62414,2026-05-19T05:53:47.214246,2026-05-19T06:03:17.214978,570.000732,165.00987157468506,3.4543432254112876,True,397.1641173621408,0.0,0.0
dkms-961,dkms-940,dkms-961->dkms-940,121,56212,,2026-05-19T05:53:47.223242,,,825.0493578734254,,False,79.43282347242815,113.4,112.4
dkms-961,dkms-943,dkms-961->dkms-943,121,52444,,2026-05-19T05:53:42.222875,,,353.59258194575375,,False,185.34325476899903,92.8,94.0
dkms-961,dkms-946,dkms-961->dkms-946,121,56190,,2026-05-19T05:53:42.222882,,,825.0493578734254,,False,79.43282347242815,119.4,118.2
dkms-961,dkms-949,dkms-961->dkms-949,121,62339,62339,2026-05-19T05:53:37.222855,2026-05-19T06:03:02.223353,565.000498,495.02961472405525,1.1413468632880654,True,132.3880391207136,0.0,0.0
dkms-961,dkms-952,dkms-961->dkms-952,121,58654,,2026-05-19T05:53:37.222859,,,353.59258194575375,,False,185.34325476899903,165.4,164.0
dkms-961,dkms-955,dkms-961->dkms-955,121,62503,62503,2026-05-19T05:53:37.222863,2026-05-19T06:03:32.224466,595.001603,495.02961472405525,1.20195153037798,True,132.3880391207136,0.0,0.0
dkms-961,dkms-958,dkms-961->dkms-958,121,62726,62726,2026-05-19T05:53:37.222867,2026-05-19T05:57:57.222847,259.99998,165.00987157468506,1.5756631862010844,True,397.1641173621408,0.0,0.0
dkms-961,dkms-964,dkms-961->dkms-964,121,62356,62356,2026-05-19T05:53:47.223299,2026-05-19T06:03:17.223012,569.999713,165.00987157468506,3.454337050023172,True,397.1641173621408,0.0,0.0
dkms-964,dkms-940,dkms-964->dkms-940,121,52131,,2026-05-19T05:55:32.205467,,,825.0493578734254,,False,79.43282347242815,81.0,81.8
dkms-964,dkms-943,dkms-964->dkms-943,121,53076,,2026-05-19T05:55:32.205488,,,825.0493578734254,,False,79.43282347242815,93.3,94.2
dkms-964,dkms-946,dkms-964->dkms-946,121,55300,,2026-05-19T05:53:42.205789,,,353.59258194575375,,False,185.34325476899903,96.6,97.8
dkms-964,dkms-949,dkms-964->dkms-949,121,62351,62351,2026-05-19T05:54:02.206031,2026-05-19T06:03:27.206320,565.000289,495.02961472405525,1.1413464410911023,True,132.3880391207136,0.0,0.0
dkms-964,dkms-952,dkms-964->dkms-952,121,57997,,2026-05-19T05:53:42.205799,,,495.02961472405525,,False,132.3880391207136,149.1,150.8
dkms-964,dkms-955,dkms-964->dkms-955,121,62334,62334,2026-05-19T05:53:37.206279,2026-05-19T06:03:12.205500,574.999221,353.59258194575375,1.6261631333889615,True,185.34325476899903,0.0,0.0
dkms-964,dkms-958,dkms-964->dkms-958,121,62403,62403,2026-05-19T05:53:37.206283,2026-05-19T06:03:17.205927,579.999644,165.00987157468506,3.5149390667666,True,397.1641173621408,0.0,0.0
dkms-964,dkms-961,dkms-964->dkms-961,121,62434,62434,2026-05-19T05:53:37.206288,2026-05-19T06:03:22.206362,585.000074,165.00987157468506,3.5452428901214152,True,397.1641173621408,0.0,0.0
