architecture,test_id,sae_id,slave_sae_id,request_index,emitted_at_epoch,responded_at_epoch,elapsed_seconds,n_keys_requested,n_keys_received,status_code,success,error
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00001,lt-6-fa2c83-20260519T054118Z-00000,1,1779169308.845603,1779169309.016635,0.171032,2,2,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00000,lt-6-fa2c83-20260519T054118Z-00001,2,1779169308.934092,1779169309.017361,0.083269,3,3,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00002,lt-6-fa2c83-20260519T054118Z-00001,3,1779169309.163157,1779169309.318819,0.155662,3,3,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00003,lt-6-fa2c83-20260519T054118Z-00001,4,1779169309.476840,1779169309.616341,0.139501,3,3,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00004,lt-6-fa2c83-20260519T054118Z-00000,5,1779169309.794911,1779169309.856208,0.061298,2,2,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00002,lt-6-fa2c83-20260519T054118Z-00000,6,1779169310.204820,1779169310.215943,0.011122,6,6,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00002,lt-6-fa2c83-20260519T054118Z-00003,7,1779169310.257077,1779169310.328302,0.071225,6,6,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00001,lt-6-fa2c83-20260519T054118Z-00002,8,1779169310.474924,1779169310.536623,0.061699,3,3,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00003,lt-6-fa2c83-20260519T054118Z-00002,9,1779169310.586555,1779169310.648338,0.061783,2,2,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00002,lt-6-fa2c83-20260519T054118Z-00004,10,1779169310.662817,1779169310.672085,0.009268,5,5,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00003,lt-6-fa2c83-20260519T054118Z-00004,11,1779169311.042484,1779169311.108195,0.065711,5,5,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00000,lt-6-fa2c83-20260519T054118Z-00004,12,1779169311.163459,1779169311.172584,0.009125,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00000,lt-6-fa2c83-20260519T054118Z-00001,13,1779169312.569400,1779169312.577408,0.008008,2,2,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00000,lt-6-fa2c83-20260519T054118Z-00002,14,1779169312.719469,1779169312.776541,0.057072,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00000,lt-6-fa2c83-20260519T054118Z-00001,15,1779169312.834603,1779169312.843518,0.008915,2,2,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00003,lt-6-fa2c83-20260519T054118Z-00000,16,1779169313.012525,1779169313.021420,0.008894,6,6,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00004,lt-6-fa2c83-20260519T054118Z-00001,17,1779169313.275784,1779169313.283039,0.007255,5,5,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00001,lt-6-fa2c83-20260519T054118Z-00000,18,1779169313.551798,1779169313.560539,0.008741,5,5,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00004,lt-6-fa2c83-20260519T054118Z-00000,19,1779169313.678761,1779169313.688433,0.009672,2,2,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00000,lt-6-fa2c83-20260519T054118Z-00002,20,1779169313.765124,1779169313.775865,0.010741,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00001,lt-6-fa2c83-20260519T054118Z-00000,21,1779169313.838822,1779169313.846036,0.007215,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00001,lt-6-fa2c83-20260519T054118Z-00002,22,1779169313.971290,1779169313.980561,0.009272,6,6,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00004,lt-6-fa2c83-20260519T054118Z-00001,23,1779169315.449161,1779169315.456458,0.007297,3,3,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00000,lt-6-fa2c83-20260519T054118Z-00003,24,1779169315.585921,1779169315.646920,0.060999,5,5,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00003,lt-6-fa2c83-20260519T054118Z-00000,25,1779169316.078950,1779169316.089192,0.010242,3,3,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00000,lt-6-fa2c83-20260519T054118Z-00001,26,1779169316.147377,1779169316.156839,0.009462,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00001,lt-6-fa2c83-20260519T054118Z-00003,27,1779169316.160125,1779169316.226497,0.066372,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00002,lt-6-fa2c83-20260519T054118Z-00001,28,1779169316.339357,1779169316.348781,0.009424,5,5,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00004,lt-6-fa2c83-20260519T054118Z-00001,29,1779169317.074121,1779169317.081550,0.007429,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00004,lt-6-fa2c83-20260519T054118Z-00002,30,1779169317.791966,1779169317.799371,0.007404,7,7,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00004,lt-6-fa2c83-20260519T054118Z-00000,31,1779169318.071760,1779169318.078999,0.007239,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00001,lt-6-fa2c83-20260519T054118Z-00000,32,1779169318.588564,1779169318.596283,0.007720,6,6,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00000,lt-6-fa2c83-20260519T054118Z-00002,33,1779169318.791397,1779169318.798990,0.007592,3,3,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00004,lt-6-fa2c83-20260519T054118Z-00002,34,1779169318.981808,1779169318.989605,0.007797,6,6,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00003,lt-6-fa2c83-20260519T054118Z-00001,35,1779169320.461656,1779169320.471905,0.010249,5,5,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00000,lt-6-fa2c83-20260519T054118Z-00001,36,1779169320.749794,1779169320.758455,0.008661,3,3,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00002,lt-6-fa2c83-20260519T054118Z-00004,37,1779169321.944021,1779169321.952485,0.008464,2,2,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00004,lt-6-fa2c83-20260519T054118Z-00000,38,1779169323.356185,1779169323.363026,0.006841,6,6,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00002,lt-6-fa2c83-20260519T054118Z-00001,39,1779169323.439192,1779169323.447784,0.008592,2,2,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00002,lt-6-fa2c83-20260519T054118Z-00001,40,1779169323.832723,1779169323.842837,0.010114,3,3,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00002,lt-6-fa2c83-20260519T054118Z-00000,41,1779169324.571424,1779169324.580690,0.009266,5,5,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00001,lt-6-fa2c83-20260519T054118Z-00000,42,1779169324.776329,1779169324.785495,0.009166,5,5,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00001,lt-6-fa2c83-20260519T054118Z-00000,43,1779169324.908002,1779169324.917146,0.009144,2,2,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00004,lt-6-fa2c83-20260519T054118Z-00000,44,1779169324.948611,1779169324.964754,0.016143,3,3,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00002,lt-6-fa2c83-20260519T054118Z-00003,45,1779169324.954663,1779169324.965092,0.010429,3,3,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00005,lt-6-fa2c83-20260519T054118Z-00002,46,1779169325.126417,1779169325.246533,0.120116,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00003,lt-6-fa2c83-20260519T054118Z-00004,47,1779169325.334692,1779169325.345056,0.010364,4,4,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00006,lt-6-fa2c83-20260519T054118Z-00000,48,1779169325.446201,1779169325.577182,0.130981,2,2,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00000,lt-6-fa2c83-20260519T054118Z-00004,49,1779169325.570018,1779169325.577974,0.007957,2,2,200,true,
dkms_complete_buffers_tc,ramp-sim55-20260519T054106-fa2c83,lt-6-fa2c83-20260519T054118Z-00005,lt-6-fa2c83-20260519T054118Z-00000,50,1779169325.808703,1779169325.815940,0.007237,3,3,200,true,
