src,peer,commodity_id,samples,max_enc,enc_at_sat,t_first_emit,t_saturated,t_observed_seconds,t_theoretical_seconds,ratio,saturated,theory_rate_keys_per_s,last_sdn_rate_keys_per_s,last_observed_keys_per_s
dkms-764,dkms-767,dkms-764->dkms-767,121,13490,,2026-05-19T00:20:21.119730,,,2317.391383213709,,False,28.280074084471682,23.8,23.6
dkms-764,dkms-770,dkms-764->dkms-770,121,24450,,2026-05-19T00:20:21.119755,,,1274.765380921531,,False,51.41024456800346,34.6,34.2
dkms-764,dkms-773,dkms-764->dkms-773,121,23619,,2026-05-19T00:20:21.119761,,,1274.765380921531,,False,51.41024456800346,28.1,28.0
dkms-764,dkms-776,dkms-764->dkms-776,121,18820,,2026-05-19T00:20:21.119766,,,2928.92522045066,,False,22.3754432316699,166.4,0.0
dkms-764,dkms-779,dkms-764->dkms-779,121,26146,,2026-05-19T00:20:21.119772,,,1274.765380921531,,False,51.41024456800346,48.2,47.8
dkms-764,dkms-782,dkms-764->dkms-782,121,18821,,2026-05-19T00:20:21.119777,,,2928.92522045066,,False,22.3754432316699,145.4,0.0
dkms-764,dkms-785,dkms-764->dkms-785,121,20283,,2026-05-19T00:20:21.119783,,,1274.765380921531,,False,51.41024456800346,10.1,10.2
dkms-764,dkms-788,dkms-764->dkms-788,121,18690,,2026-05-19T00:20:21.119788,,,2928.92522045066,,False,22.3754432316699,121.0,0.0
dkms-764,dkms-791,dkms-764->dkms-791,121,23821,,2026-05-19T00:20:16.119851,,,696.5952398646717,,False,94.08045913826766,31.5,31.2
dkms-764,dkms-794,dkms-764->dkms-794,121,25316,,2026-05-19T00:20:21.119799,,,696.5952398646717,,False,94.08045913826766,43.8,44.2
dkms-764,dkms-797,dkms-764->dkms-797,121,13267,,2026-05-19T00:20:21.119804,,,2317.391383213709,,False,28.280074084471682,23.1,23.4
dkms-764,dkms-800,dkms-764->dkms-800,121,20381,,2026-05-19T00:20:21.119810,,,1062.2535220248014,,False,61.69525319631735,17.7,0.0
dkms-764,dkms-803,dkms-764->dkms-803,121,62380,62380,2026-05-19T00:20:11.120595,2026-05-19T00:28:21.119815,489.99922,1062.2535220248014,0.4612827445052797,True,61.69525319631735,0.0,0.0
dkms-764,dkms-806,dkms-764->dkms-806,121,62427,62427,2026-05-19T00:20:21.119823,2026-05-19T00:25:06.120385,285.000562,548.4027408554523,0.5196920816905988,True,119.5034144026533,0.0,0.0
dkms-764,dkms-809,dkms-764->dkms-809,121,24482,,2026-05-19T00:20:21.119828,,,1274.765380921531,,False,51.41024456800346,34.6,35.0
dkms-764,dkms-812,dkms-764->dkms-812,121,22481,,2026-05-19T00:20:21.119833,,,1062.2535220248014,,False,61.69525319631735,20.0,19.8
dkms-764,dkms-815,dkms-764->dkms-815,121,22753,,2026-05-19T00:20:21.119838,,,1062.2535220248014,,False,61.69525319631735,23.5,23.8
dkms-764,dkms-818,dkms-764->dkms-818,121,13515,,2026-05-19T00:20:21.119842,,,2317.391383213709,,False,28.280074084471682,23.8,24.0
dkms-764,dkms-821,dkms-764->dkms-821,121,62325,62325,2026-05-19T00:20:21.119848,2026-05-19T00:25:26.121255,305.001407,1274.765380921531,0.23926081737449892,True,51.41024456800346,0.0,0.0
dkms-767,dkms-764,dkms-767->dkms-764,121,13471,,2026-05-19T00:20:21.027517,,,2317.391383213709,,False,28.280074084471682,23.8,23.6
dkms-767,dkms-770,dkms-767->dkms-770,121,13482,,2026-05-19T00:20:26.027579,,,2317.391383213709,,False,28.280074084471682,23.8,23.6
dkms-767,dkms-773,dkms-767->dkms-773,121,13479,,2026-05-19T00:20:26.027584,,,2317.391383213709,,False,28.280074084471682,23.8,23.6
dkms-767,dkms-776,dkms-767->dkms-776,121,11041,,2026-05-19T00:20:26.027588,,,2550.999385553801,,False,25.690323710435813,23.1,0.0
dkms-767,dkms-779,dkms-767->dkms-779,121,13482,,2026-05-19T00:20:26.027592,,,2317.391383213709,,False,28.280074084471682,23.8,23.8
dkms-767,dkms-782,dkms-767->dkms-782,121,11050,,2026-05-19T00:20:26.027597,,,2550.999385553801,,False,25.690323710435813,23.1,0.0
dkms-767,dkms-785,dkms-767->dkms-785,121,11027,,2026-05-19T00:20:26.027601,,,2550.999385553801,,False,25.690323710435813,23.1,0.0
