commodity_id,src,peer,theory_rate_kps,theory_t_saturate_seconds
dkms-1082->dkms-1085,dkms-1082,dkms-1085,71.604815,915.245707
dkms-1082->dkms-1088,dkms-1082,dkms-1088,30.467384,2151.021540
dkms-1082->dkms-1091,dkms-1082,dkms-1091,25.450963,2574.991003
dkms-1082->dkms-1094,dkms-1082,dkms-1094,41.363124,1584.406451
dkms-1082->dkms-1097,dkms-1082,dkms-1097,71.604815,915.245707
dkms-1082->dkms-1100,dkms-1082,dkms-1100,62.658145,1045.929468
dkms-1082->dkms-1103,dkms-1082,dkms-1103,603.107384,108.663899
dkms-1082->dkms-1106,dkms-1082,dkms-1106,93.422814,701.498885
dkms-1082->dkms-1109,dkms-1082,dkms-1109,30.467384,2151.021540
dkms-1082->dkms-1112,dkms-1082,dkms-1112,21.762417,3011.430156
dkms-1082->dkms-1115,dkms-1082,dkms-1115,21.762417,3011.430156
dkms-1082->dkms-1118,dkms-1082,dkms-1118,25.450963,2574.991003
dkms-1082->dkms-1121,dkms-1082,dkms-1121,21.762417,3011.430156
dkms-1082->dkms-1124,dkms-1082,dkms-1124,53.849329,1217.025369
dkms-1082->dkms-1127,dkms-1082,dkms-1127,93.422814,701.498885
dkms-1082->dkms-1130,dkms-1082,dkms-1130,62.658145,1045.929468
dkms-1082->dkms-1133,dkms-1082,dkms-1133,41.363124,1584.406451
dkms-1082->dkms-1136,dkms-1082,dkms-1136,199.372991,328.710521
dkms-1082->dkms-1139,dkms-1082,dkms-1139,41.363124,1584.406451
dkms-1085->dkms-1082,dkms-1085,dkms-1082,71.604815,915.245707
dkms-1085->dkms-1088,dkms-1085,dkms-1088,21.762417,3011.430156
dkms-1085->dkms-1091,dkms-1085,dkms-1091,25.450963,2574.991003
dkms-1085->dkms-1094,dkms-1085,dkms-1094,114.976841,569.993048
dkms-1085->dkms-1097,dkms-1085,dkms-1097,281.587562,232.737553
dkms-1085->dkms-1100,dkms-1085,dkms-1100,25.450963,2574.991003
dkms-1085->dkms-1103,dkms-1085,dkms-1103,41.363124,1584.406451
dkms-1085->dkms-1106,dkms-1085,dkms-1106,50.641156,1294.125265
dkms-1085->dkms-1109,dkms-1085,dkms-1109,21.762417,3011.430156
dkms-1085->dkms-1112,dkms-1085,dkms-1112,25.450963,2574.991003
dkms-1085->dkms-1115,dkms-1085,dkms-1115,25.450963,2574.991003
dkms-1085->dkms-1118,dkms-1085,dkms-1118,25.450963,2574.991003
dkms-1085->dkms-1121,dkms-1085,dkms-1121,25.450963,2574.991003
dkms-1085->dkms-1124,dkms-1085,dkms-1124,25.450963,2574.991003
dkms-1085->dkms-1127,dkms-1085,dkms-1127,50.641156,1294.125265
dkms-1085->dkms-1130,dkms-1085,dkms-1130,62.658145,1045.929468
dkms-1085->dkms-1133,dkms-1085,dkms-1133,113.782807,575.974542
dkms-1085->dkms-1136,dkms-1085,dkms-1136,41.363124,1584.406451
dkms-1085->dkms-1139,dkms-1085,dkms-1139,114.976841,569.993048
dkms-1088->dkms-1082,dkms-1088,dkms-1082,30.467384,2151.021540
dkms-1088->dkms-1085,dkms-1088,dkms-1085,21.762417,3011.430156
dkms-1088->dkms-1091,dkms-1088,dkms-1091,21.762417,3011.430156
dkms-1088->dkms-1094,dkms-1088,dkms-1094,30.467384,2151.021540
dkms-1088->dkms-1097,dkms-1088,dkms-1097,30.467384,2151.021540
dkms-1088->dkms-1100,dkms-1088,dkms-1100,21.762417,3011.430156
dkms-1088->dkms-1103,dkms-1088,dkms-1103,30.467384,2151.021540
dkms-1088->dkms-1106,dkms-1088,dkms-1106,30.467384,2151.021540
dkms-1088->dkms-1109,dkms-1088,dkms-1109,337.317470,194.285817
dkms-1088->dkms-1112,dkms-1088,dkms-1112,21.762417,3011.430156
dkms-1088->dkms-1115,dkms-1088,dkms-1115,21.762417,3011.430156
dkms-1088->dkms-1118,dkms-1088,dkms-1118,21.762417,3011.430156
dkms-1088->dkms-1121,dkms-1088,dkms-1121,21.762417,3011.430156
dkms-1088->dkms-1124,dkms-1088,dkms-1124,21.762417,3011.430156
dkms-1088->dkms-1127,dkms-1088,dkms-1127,30.467384,2151.021540
dkms-1088->dkms-1130,dkms-1088,dkms-1130,21.762417,3011.430156
dkms-1088->dkms-1133,dkms-1088,dkms-1133,21.762417,3011.430156
dkms-1088->dkms-1136,dkms-1088,dkms-1136,30.467384,2151.021540
dkms-1088->dkms-1139,dkms-1088,dkms-1139,21.762417,3011.430156
dkms-1091->dkms-1082,dkms-1091,dkms-1082,25.450963,2574.991003
dkms-1091->dkms-1085,dkms-1091,dkms-1085,25.450963,2574.991003
dkms-1091->dkms-1088,dkms-1091,dkms-1088,21.762417,3011.430156
dkms-1091->dkms-1094,dkms-1091,dkms-1094,25.450963,2574.991003
dkms-1091->dkms-1097,dkms-1091,dkms-1097,25.450963,2574.991003
dkms-1091->dkms-1100,dkms-1091,dkms-1100,38.798032,1689.157831
dkms-1091->dkms-1103,dkms-1091,dkms-1103,25.450963,2574.991003
dkms-1091->dkms-1106,dkms-1091,dkms-1106,25.450963,2574.991003
dkms-1091->dkms-1109,dkms-1091,dkms-1109,21.762417,3011.430156
dkms-1091->dkms-1112,dkms-1091,dkms-1112,48.775889,1343.614673
dkms-1091->dkms-1115,dkms-1091,dkms-1115,48.775889,1343.614673
dkms-1091->dkms-1118,dkms-1091,dkms-1118,99.380112,659.447836
dkms-1091->dkms-1121,dkms-1091,dkms-1121,99.380112,659.447836
dkms-1091->dkms-1124,dkms-1091,dkms-1124,38.798032,1689.157831
dkms-1091->dkms-1127,dkms-1091,dkms-1127,25.450963,2574.991003
dkms-1091->dkms-1130,dkms-1091,dkms-1130,38.798032,1689.157831
dkms-1091->dkms-1133,dkms-1091,dkms-1133,38.798032,1689.157831
