src,peer,commodity_id,samples,max_enc,enc_at_sat,t_first_emit,t_saturated,t_observed_seconds,t_theoretical_seconds,ratio,saturated,theory_rate_keys_per_s,last_sdn_rate_keys_per_s,last_observed_keys_per_s
dkms-1103,dkms-1121,dkms-1103->dkms-1121,121,17821,,2026-05-19T07:03:36.673275,,,1584.4064514390614,,False,41.36312367352198,74.6,74.4
dkms-1103,dkms-1124,dkms-1103->dkms-1124,121,19856,,2026-05-19T07:03:36.673280,,,1584.4064514390614,,False,41.36312367352198,12.4,12.4
dkms-1103,dkms-1127,dkms-1103->dkms-1127,121,50668,,2026-05-19T07:03:36.673289,,,701.4988852698951,,False,93.42281417138052,62.6,62.4
dkms-1103,dkms-1130,dkms-1103->dkms-1130,121,20203,,2026-05-19T07:03:36.673294,,,1584.4064514390614,,False,41.36312367352198,17.3,17.4
dkms-1103,dkms-1133,dkms-1103->dkms-1133,121,20205,,2026-05-19T07:03:41.674080,,,1584.4064514390614,,False,41.36312367352198,17.3,17.4
dkms-1103,dkms-1136,dkms-1103->dkms-1136,121,62482,62482,2026-05-19T07:03:36.673305,2026-05-19T07:13:11.673250,574.999945,232.41033061808724,2.474072230226632,True,281.9840229378327,0.0,0.0
dkms-1103,dkms-1139,dkms-1103->dkms-1139,121,20215,,2026-05-19T07:03:36.673311,,,1584.4064514390614,,False,41.36312367352198,17.3,17.4
dkms-1106,dkms-1082,dkms-1106->dkms-1082,122,57796,,2026-05-19T07:03:40.693822,,,701.4988852698951,,False,93.42281417138052,122.7,124.2
dkms-1106,dkms-1085,dkms-1106->dkms-1085,122,31468,,2026-05-19T07:03:40.693874,,,1294.125264959794,,False,50.641156443256726,35.7,35.4
dkms-1106,dkms-1088,dkms-1106->dkms-1088,122,18026,,2026-05-19T07:03:35.693887,,,2151.0215401700016,,False,30.467384345588883,34.0,34.4
dkms-1106,dkms-1091,dkms-1106->dkms-1091,122,13819,,2026-05-19T07:03:35.693892,,,2574.991003160031,,False,25.450962709995554,25.7,12.4
