commodity_id,src,peer,theory_rate_kps,theory_t_saturate_seconds
dkms-1029->dkms-1032,dkms-1029,dkms-1032,291.253686,225.013461
dkms-1029->dkms-1035,dkms-1029,dkms-1035,158.865647,412.524679
dkms-1029->dkms-1038,dkms-1029,dkms-1038,648.701392,101.026452
dkms-1029->dkms-1041,dkms-1029,dkms-1041,49.645515,1320.078973
dkms-1029->dkms-1044,dkms-1029,dkms-1044,49.645515,1320.078973
dkms-1029->dkms-1047,dkms-1029,dkms-1047,49.645515,1320.078973
dkms-1029->dkms-1050,dkms-1029,dkms-1050,49.645515,1320.078973
dkms-1032->dkms-1029,dkms-1032,dkms-1029,291.253686,225.013461
dkms-1032->dkms-1035,dkms-1032,dkms-1035,158.865647,412.524679
dkms-1032->dkms-1038,dkms-1032,dkms-1038,291.253686,225.013461
dkms-1032->dkms-1041,dkms-1032,dkms-1041,49.645515,1320.078973
dkms-1032->dkms-1044,dkms-1032,dkms-1044,49.645515,1320.078973
dkms-1032->dkms-1047,dkms-1032,dkms-1047,49.645515,1320.078973
dkms-1032->dkms-1050,dkms-1032,dkms-1050,49.645515,1320.078973
dkms-1035->dkms-1029,dkms-1035,dkms-1029,158.865647,412.524679
dkms-1035->dkms-1032,dkms-1035,dkms-1032,158.865647,412.524679
dkms-1035->dkms-1038,dkms-1035,dkms-1038,516.313353,126.930670
dkms-1035->dkms-1041,dkms-1035,dkms-1041,49.645515,1320.078973
dkms-1035->dkms-1044,dkms-1035,dkms-1044,49.645515,1320.078973
dkms-1035->dkms-1047,dkms-1035,dkms-1047,49.645515,1320.078973
dkms-1035->dkms-1050,dkms-1035,dkms-1050,49.645515,1320.078973
dkms-1038->dkms-1029,dkms-1038,dkms-1029,648.701392,101.026452
dkms-1038->dkms-1032,dkms-1038,dkms-1032,158.865647,412.524679
dkms-1038->dkms-1035,dkms-1038,dkms-1035,516.313353,126.930670
dkms-1038->dkms-1041,dkms-1038,dkms-1041,49.645515,1320.078973
dkms-1038->dkms-1044,dkms-1038,dkms-1044,49.645515,1320.078973
dkms-1038->dkms-1047,dkms-1038,dkms-1047,49.645515,1320.078973
dkms-1038->dkms-1050,dkms-1038,dkms-1050,49.645515,1320.078973
dkms-1041->dkms-1029,dkms-1041,dkms-1029,49.645515,1320.078973
dkms-1041->dkms-1032,dkms-1041,dkms-1032,49.645515,1320.078973
dkms-1041->dkms-1035,dkms-1041,dkms-1035,49.645515,1320.078973
dkms-1041->dkms-1038,dkms-1041,dkms-1038,49.645515,1320.078973
dkms-1041->dkms-1044,dkms-1041,dkms-1044,158.865647,412.524679
dkms-1041->dkms-1047,dkms-1041,dkms-1047,158.865647,412.524679
dkms-1041->dkms-1050,dkms-1041,dkms-1050,516.313353,126.930670
dkms-1044->dkms-1029,dkms-1044,dkms-1029,49.645515,1320.078973
dkms-1044->dkms-1032,dkms-1044,dkms-1032,49.645515,1320.078973
dkms-1044->dkms-1035,dkms-1044,dkms-1035,49.645515,1320.078973
dkms-1044->dkms-1038,dkms-1044,dkms-1038,49.645515,1320.078973
dkms-1044->dkms-1041,dkms-1044,dkms-1041,158.865647,412.524679
dkms-1044->dkms-1047,dkms-1044,dkms-1047,291.253686,225.013461
dkms-1044->dkms-1050,dkms-1044,dkms-1050,158.865647,412.524679
dkms-1047->dkms-1029,dkms-1047,dkms-1029,49.645515,1320.078973
dkms-1047->dkms-1032,dkms-1047,dkms-1032,49.645515,1320.078973
dkms-1047->dkms-1035,dkms-1047,dkms-1035,49.645515,1320.078973
dkms-1047->dkms-1038,dkms-1047,dkms-1038,49.645515,1320.078973
dkms-1047->dkms-1041,dkms-1047,dkms-1041,158.865647,412.524679
dkms-1047->dkms-1044,dkms-1047,dkms-1044,291.253686,225.013461
dkms-1047->dkms-1050,dkms-1047,dkms-1050,648.701392,101.026452
dkms-1050->dkms-1029,dkms-1050,dkms-1029,49.645515,1320.078973
dkms-1050->dkms-1032,dkms-1050,dkms-1032,49.645515,1320.078973
dkms-1050->dkms-1035,dkms-1050,dkms-1035,49.645515,1320.078973
dkms-1050->dkms-1038,dkms-1050,dkms-1038,49.645515,1320.078973
dkms-1050->dkms-1041,dkms-1050,dkms-1041,516.313353,126.930670
dkms-1050->dkms-1044,dkms-1050,dkms-1044,291.253686,225.013461
dkms-1050->dkms-1047,dkms-1050,dkms-1047,648.701392,101.026452
