metric,label_key,label_value,value
loadtest_keys_received_total,test_id,ramp-sim59-20260519T063650-cd9ed4,9029.0
loadtest_keys_received_total,_all_labels,test_id=ramp-sim59-20260519T063650-cd9ed4,9029.0
loadtest_keys_requested_total,test_id,ramp-sim59-20260519T063650-cd9ed4,9029.0
loadtest_keys_requested_total,_all_labels,test_id=ramp-sim59-20260519T063650-cd9ed4,9029.0
loadtest_requests_total,result,ok,2229.0
loadtest_requests_total,status_code,200,2229.0
loadtest_requests_total,test_id,ramp-sim59-20260519T063650-cd9ed4,2229.0
loadtest_requests_total,_all_labels,result=ok|status_code=200|test_id=ramp-sim59-20260519T063650-cd9ed4,2229.0
loadtest_request_duration_seconds_bucket,le,0.05,2147.0
loadtest_request_duration_seconds_bucket,le,0.1,2222.0
loadtest_request_duration_seconds_bucket,le,0.25,2229.0
loadtest_request_duration_seconds_bucket,le,0.5,2229.0
loadtest_request_duration_seconds_bucket,le,1.0,2229.0
loadtest_request_duration_seconds_bucket,le,2.0,2229.0
loadtest_request_duration_seconds_bucket,le,5.0,2229.0
loadtest_request_duration_seconds_bucket,le,10.0,2229.0
loadtest_request_duration_seconds_bucket,le,20.0,2229.0
loadtest_request_duration_seconds_bucket,le,30.0,2229.0
loadtest_request_duration_seconds_bucket,le,60.0,2229.0
loadtest_request_duration_seconds_bucket,le,+Inf,2229.0
loadtest_request_duration_seconds_count,,,2229
loadtest_request_duration_seconds_sum,,,15.43238091468811
