metric,label_key,label_value,value
loadtest_errors_total,reason,502_bad_gateway,1.0
loadtest_errors_total,test_id,ramp-sim58-20260519T062036-75ce0b,1.0
loadtest_errors_total,_all_labels,reason=502_bad_gateway|test_id=ramp-sim58-20260519T062036-75ce0b,1.0
loadtest_keys_received_total,test_id,ramp-sim58-20260519T062036-75ce0b,9285.0
loadtest_keys_received_total,_all_labels,test_id=ramp-sim58-20260519T062036-75ce0b,9285.0
loadtest_keys_requested_total,test_id,ramp-sim58-20260519T062036-75ce0b,9293.0
loadtest_keys_requested_total,_all_labels,test_id=ramp-sim58-20260519T062036-75ce0b,9293.0
loadtest_requests_total,result,ok,2304.0
loadtest_requests_total,status_code,200,2304.0
loadtest_requests_total,test_id,ramp-sim58-20260519T062036-75ce0b,2304.0
loadtest_requests_total,_all_labels,result=ok|status_code=200|test_id=ramp-sim58-20260519T062036-75ce0b,2304.0
loadtest_requests_total,result,error,1.0
loadtest_requests_total,status_code,502,1.0
loadtest_requests_total,test_id,ramp-sim58-20260519T062036-75ce0b,1.0
loadtest_requests_total,_all_labels,result=error|status_code=502|test_id=ramp-sim58-20260519T062036-75ce0b,1.0
loadtest_request_duration_seconds_bucket,le,0.05,1991.0
loadtest_request_duration_seconds_bucket,le,0.05,0.0
loadtest_request_duration_seconds_bucket,le,0.1,2285.0
loadtest_request_duration_seconds_bucket,le,0.1,0.0
loadtest_request_duration_seconds_bucket,le,0.25,2302.0
loadtest_request_duration_seconds_bucket,le,0.25,0.0
loadtest_request_duration_seconds_bucket,le,0.5,2302.0
loadtest_request_duration_seconds_bucket,le,0.5,0.0
loadtest_request_duration_seconds_bucket,le,1.0,2302.0
loadtest_request_duration_seconds_bucket,le,1.0,0.0
loadtest_request_duration_seconds_bucket,le,2.0,2303.0
loadtest_request_duration_seconds_bucket,le,2.0,1.0
loadtest_request_duration_seconds_bucket,le,5.0,2304.0
loadtest_request_duration_seconds_bucket,le,5.0,1.0
loadtest_request_duration_seconds_bucket,le,10.0,2304.0
loadtest_request_duration_seconds_bucket,le,10.0,1.0
loadtest_request_duration_seconds_bucket,le,20.0,2304.0
loadtest_request_duration_seconds_bucket,le,20.0,1.0
loadtest_request_duration_seconds_bucket,le,30.0,2304.0
loadtest_request_duration_seconds_bucket,le,30.0,1.0
loadtest_request_duration_seconds_bucket,le,60.0,2304.0
loadtest_request_duration_seconds_bucket,le,60.0,1.0
loadtest_request_duration_seconds_bucket,le,+Inf,2304.0
loadtest_request_duration_seconds_bucket,le,+Inf,1.0
loadtest_request_duration_seconds_count,,,1
loadtest_request_duration_seconds_sum,,,1.5083723068237305
