commodity_id,src,peer,theory_rate_kps,theory_t_saturate_seconds
dkms-1001->dkms-1004,dkms-1001,dkms-1004,246.288620,266.094308
dkms-1001->dkms-1007,dkms-1001,dkms-1007,470.002312,139.437612
dkms-1001->dkms-1010,dkms-1001,dkms-1010,14.442332,4537.771468
dkms-1001->dkms-1013,dkms-1001,dkms-1013,56.188493,1166.359817
dkms-1001->dkms-1016,dkms-1001,dkms-1016,76.656165,854.934500
dkms-1001->dkms-1019,dkms-1001,dkms-1019,25.875844,2532.709657
dkms-1001->dkms-1022,dkms-1001,dkms-1022,74.927418,874.659796
dkms-1001->dkms-1025,dkms-1001,dkms-1025,25.875844,2532.709657
dkms-1001->dkms-968,dkms-1001,dkms-968,74.927418,874.659796
dkms-1001->dkms-971,dkms-1001,dkms-971,195.357808,335.466499
dkms-1001->dkms-974,dkms-1001,dkms-974,547.218739,119.761981
dkms-1001->dkms-977,dkms-1001,dkms-977,89.927385,728.765773
dkms-1001->dkms-980,dkms-1001,dkms-980,14.442332,4537.771468
dkms-1001->dkms-983,dkms-1001,dkms-983,56.188493,1166.359817
dkms-1001->dkms-986,dkms-1001,dkms-986,246.288620,266.094308
dkms-1001->dkms-989,dkms-1001,dkms-989,14.442332,4537.771468
dkms-1001->dkms-992,dkms-1001,dkms-992,224.280982,292.204892
dkms-1001->dkms-995,dkms-1001,dkms-995,14.442332,4537.771468
dkms-1001->dkms-998,dkms-1001,dkms-998,14.442332,4537.771468
dkms-1004->dkms-1001,dkms-1004,dkms-1001,246.288620,266.094308
dkms-1004->dkms-1007,dkms-1004,dkms-1007,40.220389,1629.422334
dkms-1004->dkms-1010,dkms-1004,dkms-1010,14.442332,4537.771468
dkms-1004->dkms-1013,dkms-1004,dkms-1013,56.188493,1166.359817
dkms-1004->dkms-1016,dkms-1004,dkms-1016,76.656165,854.934500
dkms-1004->dkms-1019,dkms-1004,dkms-1019,25.875844,2532.709657
dkms-1004->dkms-1022,dkms-1004,dkms-1022,84.166162,778.650214
dkms-1004->dkms-1025,dkms-1004,dkms-1025,25.875844,2532.709657
dkms-1004->dkms-968,dkms-1004,dkms-968,92.580119,707.884161
dkms-1004->dkms-971,dkms-1004,dkms-971,14.442332,4537.771468
dkms-1004->dkms-974,dkms-1004,dkms-974,31.216498,2099.402703
dkms-1004->dkms-977,dkms-1004,dkms-977,40.220389,1629.422334
dkms-1004->dkms-980,dkms-1004,dkms-980,14.442332,4537.771468
dkms-1004->dkms-983,dkms-1004,dkms-983,56.188493,1166.359817
dkms-1004->dkms-986,dkms-1004,dkms-986,344.682227,190.134550
dkms-1004->dkms-989,dkms-1004,dkms-989,14.442332,4537.771468
dkms-1004->dkms-992,dkms-1004,dkms-992,40.220389,1629.422334
dkms-1004->dkms-995,dkms-1004,dkms-995,14.442332,4537.771468
dkms-1004->dkms-998,dkms-1004,dkms-998,14.442332,4537.771468
dkms-1007->dkms-1001,dkms-1007,dkms-1001,470.002312,139.437612
dkms-1007->dkms-1004,dkms-1007,dkms-1004,40.220389,1629.422334
dkms-1007->dkms-1010,dkms-1007,dkms-1010,14.442332,4537.771468
dkms-1007->dkms-1013,dkms-1007,dkms-1013,56.188493,1166.359817
dkms-1007->dkms-1016,dkms-1007,dkms-1016,40.220389,1629.422334
dkms-1007->dkms-1019,dkms-1007,dkms-1019,25.875844,2532.709657
dkms-1007->dkms-1022,dkms-1007,dkms-1022,74.927418,874.659796
dkms-1007->dkms-1025,dkms-1007,dkms-1025,25.875844,2532.709657
dkms-1007->dkms-968,dkms-1007,dkms-968,74.927418,874.659796
dkms-1007->dkms-971,dkms-1007,dkms-971,170.798022,383.704679
dkms-1007->dkms-974,dkms-1007,dkms-974,170.798022,383.704679
dkms-1007->dkms-977,dkms-1007,dkms-977,89.927385,728.765773
dkms-1007->dkms-980,dkms-1007,dkms-980,14.442332,4537.771468
dkms-1007->dkms-983,dkms-1007,dkms-983,56.188493,1166.359817
dkms-1007->dkms-986,dkms-1007,dkms-986,134.257421,488.136890
dkms-1007->dkms-989,dkms-1007,dkms-989,14.442332,4537.771468
dkms-1007->dkms-992,dkms-1007,dkms-992,224.280982,292.204892
dkms-1007->dkms-995,dkms-1007,dkms-995,14.442332,4537.771468
dkms-1007->dkms-998,dkms-1007,dkms-998,14.442332,4537.771468
dkms-1010->dkms-1001,dkms-1010,dkms-1001,14.442332,4537.771468
dkms-1010->dkms-1004,dkms-1010,dkms-1004,14.442332,4537.771468
dkms-1010->dkms-1007,dkms-1010,dkms-1007,14.442332,4537.771468
dkms-1010->dkms-1013,dkms-1010,dkms-1013,50.141170,1307.029723
dkms-1010->dkms-1016,dkms-1010,dkms-1016,14.442332,4537.771468
dkms-1010->dkms-1019,dkms-1010,dkms-1019,14.442332,4537.771468
dkms-1010->dkms-1022,dkms-1010,dkms-1022,50.141170,1307.029723
dkms-1010->dkms-1025,dkms-1010,dkms-1025,14.442332,4537.771468
dkms-1010->dkms-968,dkms-1010,dkms-968,50.141170,1307.029723
dkms-1010->dkms-971,dkms-1010,dkms-971,39.582686,1655.673374
dkms-1010->dkms-974,dkms-1010,dkms-974,14.442332,4537.771468
dkms-1010->dkms-977,dkms-1010,dkms-977,14.442332,4537.771468
dkms-1010->dkms-980,dkms-1010,dkms-980,152.725912,429.108586
dkms-1010->dkms-983,dkms-1010,dkms-983,39.582686,1655.673374
dkms-1010->dkms-986,dkms-1010,dkms-986,50.141170,1307.029723
dkms-1010->dkms-989,dkms-1010,dkms-989,39.582686,1655.673374
dkms-1010->dkms-992,dkms-1010,dkms-992,14.442332,4537.771468
dkms-1010->dkms-995,dkms-1010,dkms-995,152.725912,429.108586
dkms-1010->dkms-998,dkms-1010,dkms-998,39.582686,1655.673374
dkms-1013->dkms-1001,dkms-1013,dkms-1001,56.188493,1166.359817
dkms-1013->dkms-1004,dkms-1013,dkms-1004,56.188493,1166.359817
dkms-1013->dkms-1007,dkms-1013,dkms-1007,56.188493,1166.359817
dkms-1013->dkms-1010,dkms-1013,dkms-1010,50.141170,1307.029723
dkms-1013->dkms-1016,dkms-1013,dkms-1016,56.188493,1166.359817
dkms-1013->dkms-1019,dkms-1013,dkms-1019,25.875844,2532.709657
dkms-1013->dkms-1022,dkms-1013,dkms-1022,207.688503,315.549485
