commodity_id,src,peer,theory_rate_kps,theory_t_saturate_seconds
dkms-825->dkms-828,dkms-825,dkms-828,291.253686,225.013461
dkms-825->dkms-831,dkms-825,dkms-831,158.865647,412.524679
dkms-825->dkms-834,dkms-825,dkms-834,648.701392,101.026452
dkms-825->dkms-837,dkms-825,dkms-837,49.645515,1320.078973
dkms-825->dkms-840,dkms-825,dkms-840,49.645515,1320.078973
dkms-825->dkms-843,dkms-825,dkms-843,49.645515,1320.078973
dkms-825->dkms-846,dkms-825,dkms-846,49.645515,1320.078973
dkms-828->dkms-825,dkms-828,dkms-825,291.253686,225.013461
dkms-828->dkms-831,dkms-828,dkms-831,158.865647,412.524679
dkms-828->dkms-834,dkms-828,dkms-834,291.253686,225.013461
dkms-828->dkms-837,dkms-828,dkms-837,49.645515,1320.078973
dkms-828->dkms-840,dkms-828,dkms-840,49.645515,1320.078973
dkms-828->dkms-843,dkms-828,dkms-843,49.645515,1320.078973
dkms-828->dkms-846,dkms-828,dkms-846,49.645515,1320.078973
dkms-831->dkms-825,dkms-831,dkms-825,158.865647,412.524679
dkms-831->dkms-828,dkms-831,dkms-828,158.865647,412.524679
dkms-831->dkms-834,dkms-831,dkms-834,516.313353,126.930670
dkms-831->dkms-837,dkms-831,dkms-837,49.645515,1320.078973
dkms-831->dkms-840,dkms-831,dkms-840,49.645515,1320.078973
dkms-831->dkms-843,dkms-831,dkms-843,49.645515,1320.078973
dkms-831->dkms-846,dkms-831,dkms-846,49.645515,1320.078973
dkms-834->dkms-825,dkms-834,dkms-825,648.701392,101.026452
dkms-834->dkms-828,dkms-834,dkms-828,158.865647,412.524679
dkms-834->dkms-831,dkms-834,dkms-831,516.313353,126.930670
dkms-834->dkms-837,dkms-834,dkms-837,49.645515,1320.078973
dkms-834->dkms-840,dkms-834,dkms-840,49.645515,1320.078973
dkms-834->dkms-843,dkms-834,dkms-843,49.645515,1320.078973
dkms-834->dkms-846,dkms-834,dkms-846,49.645515,1320.078973
dkms-837->dkms-825,dkms-837,dkms-825,49.645515,1320.078973
dkms-837->dkms-828,dkms-837,dkms-828,49.645515,1320.078973
dkms-837->dkms-831,dkms-837,dkms-831,49.645515,1320.078973
dkms-837->dkms-834,dkms-837,dkms-834,49.645515,1320.078973
dkms-837->dkms-840,dkms-837,dkms-840,158.865647,412.524679
dkms-837->dkms-843,dkms-837,dkms-843,158.865647,412.524679
dkms-837->dkms-846,dkms-837,dkms-846,516.313353,126.930670
dkms-840->dkms-825,dkms-840,dkms-825,49.645515,1320.078973
dkms-840->dkms-828,dkms-840,dkms-828,49.645515,1320.078973
dkms-840->dkms-831,dkms-840,dkms-831,49.645515,1320.078973
dkms-840->dkms-834,dkms-840,dkms-834,49.645515,1320.078973
dkms-840->dkms-837,dkms-840,dkms-837,158.865647,412.524679
dkms-840->dkms-843,dkms-840,dkms-843,291.253686,225.013461
dkms-840->dkms-846,dkms-840,dkms-846,158.865647,412.524679
dkms-843->dkms-825,dkms-843,dkms-825,49.645515,1320.078973
dkms-843->dkms-828,dkms-843,dkms-828,49.645515,1320.078973
dkms-843->dkms-831,dkms-843,dkms-831,49.645515,1320.078973
dkms-843->dkms-834,dkms-843,dkms-834,49.645515,1320.078973
dkms-843->dkms-837,dkms-843,dkms-837,158.865647,412.524679
dkms-843->dkms-840,dkms-843,dkms-840,291.253686,225.013461
dkms-843->dkms-846,dkms-843,dkms-846,648.701392,101.026452
dkms-846->dkms-825,dkms-846,dkms-825,49.645515,1320.078973
dkms-846->dkms-828,dkms-846,dkms-828,49.645515,1320.078973
dkms-846->dkms-831,dkms-846,dkms-831,49.645515,1320.078973
dkms-846->dkms-834,dkms-846,dkms-834,49.645515,1320.078973
dkms-846->dkms-837,dkms-846,dkms-837,516.313353,126.930670
dkms-846->dkms-840,dkms-846,dkms-840,291.253686,225.013461
dkms-846->dkms-843,dkms-846,dkms-843,648.701392,101.026452
